review,sentiment
"น่ารำคาญมาก ไม่แนะนำ",negative
"เรื่องนี้ทำให้ร้องไห้",positive
"รูปแบบเรื่องนี้เหมือนเรื่องเก่าๆ",negative
"แนะนำให้เรื่องนี้คุ้มค่า",positive
"ไม่ค่อยน่าสนใจเลย",negative
"น่ารักและฮามาก",positive
"ไม่เคยเห็นเรื่องแบบนี้มาก่อน",positive
"ฉากตลกมีความคิดสร้างสรรค์",positive
"เนื้อเรื่องซ้ำซาก",negative
"อร่อยใจจริงๆ",positive
"เรื่องนี้ต้องดูในโอกาสเดียว",positive
"ไม่รู้สึกตื่นเต้นเลย",negative
"เรื่องนี้มีอารมณ์มาก",positive
"ชอบบรรยากาศในเรื่องนี้",positive
"ไม่ค่อยเข้าใจเนื้อเรื่อง",negative
"น่าตื่นเต้นมาก",positive
"ไม่เหมือนที่คิดว่าจะดู",negative
"ความรู้สึกในเรื่องนี้มีน้ำหนัก",positive
"เบื่อมาก ไม่ควรสูญเสียเวลา",negative
"เรื่องนี้ทำให้ยิ้มได้",positive
"แนวเรื่องนี้มีเรื่องใหม่ๆ",positive
"ไม่เหมือนที่คิดว่าจะดู",negative
"น่ารักและน่าสนใจมาก",positive
"เรื่องนี้มีอารมณ์มาก",positive
"ไม่ค่อยเข้าใจเนื้อเรื่อง",negative
"น่าตื่นเต้นมาก",positive
"ไม่รู้สึกตื่นเต้นเลย",negative
"เนื้อหาเป็นที่น่าสนใจ",positive
"ดูแล้วไม่รู้สึกอะไรเลย",negative
"น่ารำคาญมาก ไม่แนะนำ",negative
"เรื่องนี้ทำให้ร้องไห้",positive
"รูปแบบเรื่องนี้เหมือนเรื่องเก่าๆ",negative
"เรื่องนี้มันช้ามาก ชอบไม่ได้เลย",negative
"ดูแล้วง่วงมาก ไม่แนะนำ",negative
"เรื่องนี้น่าจะเหมาะกับคนที่ชอบนอน",negative
"เรื่องนี้ไม่มีเนื้อหาเลย",negative
"ไม่เข้าใจเรื่องเลย ซับซ้อนมาก",negative
"แบบนี้แหละ ซ้ำซาก",negative
"ไม่ค่อยมีแรงบันดาลใจเลย",negative
"ไม่ค่อยมีกระแสเลย",negative
"มีเรื่องที่ดูน่าสนใจกว่านี้เยอะ",negative
"น่าเบื่อมาก ไม่แนะนำ",negative
"ไม่เคยรู้สึกหงุดหงิดต่อหนังมาก่อน แต่หนังนี้กลับทำให้รู้สึกแบบนี้",negative
"น่าสนใจแค่ตอนแรก หลังจากนั้นกลายเป็นเรื่องซ้ำซาก",negative
"เรื่องนี้ไม่สามารถดูได้ซ้ำเลย",negative
"เป็นหนังที่ไม่ควรใช้เวลามากในการดู",negative
"ไม่รู้สึกสนุกเลย",negative
"น่าสนใจเพียงเล็กน้อย แต่ไม่พอที่จะเป็นหนังดี",negative
"หนังแนวนี้มันหลุดจากแนวของมัน",negative
"เรื่องนี้ตรงกับชื่อของมัน มันเหมือนไม่มีอะไรใหม่",negative
"เรื่องนี้ไม่มีความสมดุลระหว่างการกระตุ้นและความเข้าใจ",negative
"น่าเบื่อมาก ไม่เข้ากับสไตล์ของฉัน",negative
"เนื้อหาจริงๆ ไม่ค่อยมีเรื่องราว",negative
"ไม่รู้สึกสนุกเลย",negative
"น่าสนใจเพียงเล็กน้อย แต่ไม่พอที่จะเป็นหนังดี",negative
"หนังแนวนี้มันหลุดจากแนวของมัน",negative
"เรื่องนี้ตรงกับชื่อของมัน มันเหมือนไม่มีอะไรใหม่",negative
"เรื่องนี้ไม่มีความสมดุลระหว่างการกระตุ้นและความเข้าใจ",negative
"น่าเบื่อมาก ไม่เข้ากับสไตล์ของฉัน",negative
"เนื้อหาจริงๆ ไม่ค่อยมีเรื่องราว",negative
"ไม่รู้สึกสนุกเลย",negative
"น่าสนใจเพียงเล็กน้อย แต่ไม่พอที่จะเป็นหนังดี",negative
"หนังแนวนี้มันหลุดจากแนวของมัน",negative
"เรื่องนี้ตรงกับชื่อของมัน มันเหมือนไม่มีอะไรใหม่",negative
"เรื่องนี้ไม่เหมาะสมสำหรับช่วงเวลานี้",negative
"เรื่องนี้เหมือนหนังเก่าที่เราเคยดูมาแล้ว",negative
"ไม่เข้าใจว่าทำไมมีคนชมมัน",negative
"น่าสนใจแค่ตอนแรก หลังจากนั้นกลายเป็นเรื่องซ้ำซาก",negative
"เรื่องนี้ไม่สามารถดูได้ซ้ำเลย",negative
"เป็นหนังที่ไม่ควรใช้เวลามากในการดู",negative
"ไม่เข้าใจว่าทำไมมีคนชมมัน",negative
"เรื่องนี้ไม่เหมาะสมสำหรับช่วงเวลานี้",negative
"เรื่องนี้เหมือนหนังเก่าที่เราเคยดูมาแล้ว",negative
"ไม่รู้สึกสนุกเลย",negative
"น่าสนใจเพียงเล็กน้อย แต่ไม่พอที่จะเป็นหนังดี",negative
"หนังแนวนี้มันหลุดจากแนวของมัน",negative
"เรื่องนี้ตรงกับชื่อของมัน มันเหมือนไม่มีอะไรใหม่",negative
"เรื่องนี้ไม่มีความสมดุลระหว่างการกระตุ้นและความเข้าใจ",negative
"น่าเบื่อมาก ไม่เข้ากับสไตล์ของฉัน",negative
"เนื้อหาจริงๆ ไม่ค่อยมีเรื่องราว",negative
"ไม่รู้สึกสนุกเลย",negative
"น่าสนใจเพียงเล็กน้อย แต่ไม่พอที่จะเป็นหนังดี",negative
"หนังแนวนี้มันหลุดจากแนวของมัน",negative
"เรื่องนี้ตรงกับชื่อของมัน มันเหมือนไม่มีอะไรใหม่",negative
"เรื่องนี้ไม่เหมาะสมสำหรับช่วงเวลานี้",negative
"เรื่องนี้เหมือนหนังเก่าที่เราเคยดูมาแล้ว",negative
"ไม่เข้าใจว่าทำไมมีคนชมมัน",negative
"น่าสนใจแค่ตอนแรก หลังจากนั้นกลายเป็นเรื่องซ้ำซาก",negative
"เรื่องนี้ไม่สามารถดูได้ซ้ำเลย",negative
"เป็นหนังที่ไม่ควรใช้เวลามากในการดู",negative
"ไม่เข้าใจว่าทำไมมีคนชมมัน",negative
"เรื่องนี้ไม่เหมาะสมสำหรับช่วงเวลานี้",negative
"เรื่องนี้เหมือนหนังเก่าที่เราเคยดูมาแล้ว",negative
"ไม่รู้สึกสนุกเลย",negative
"น่าสนใจเพียงเล็กน้อย แต่ไม่พอที่จะเป็นหนังดี",negative
"หนังแนวนี้มันหลุดจากแนวของมัน",negative
"เรื่องนี้ตรงกับชื่อของมัน มันเหมือนไม่มีอะไรใหม่",negative
"เรื่องนี้ไม่มีความสมดุลระหว่างการกระตุ้นและความเข้าใจ",negative
"น่าเบื่อมาก ไม่เข้ากับสไตล์ของฉัน",negative
"เนื้อหาจริงๆ ไม่ค่อยมีเรื่องราว",negative
"ไม่รู้สึกสนุกเลย",negative
"น่าสนใจเพียงเล็กน้อย แต่ไม่พอที่จะเป็นหนังดี",negative
"หนังแนวนี้มันหลุดจากแนวของมัน",negative
"เรื่องนี้ตรงกับชื่อของมัน มันเหมือนไม่มีอะไรใหม่",negative
"เรื่องนี้ไม่เหมาะสมสำหรับช่วงเวลานี้",negative
"เรื่องนี้เหมือนหนังเก่าที่เราเคยดูมาแล้ว",negative
"ไม่เข้าใจว่าทำไมมีคนชมมัน",negative
"น่าสนใจแค่ตอนแรก หลังจากนั้นกลายเป็นเรื่องซ้ำซาก",negative
"เรื่องนี้ไม่สามารถดูได้ซ้ำเลย",negative
"เป็นหนังที่ไม่ควรใช้เวลามากในการดู",negative
"ไม่เข้าใจว่าทำไมมีคนชมมัน",negative
"เรื่องนี้ไม่เหมาะสมสำหรับช่วงเวลานี้",negative
"เรื่องนี้เหมือนหนังเก่าที่เราเคยดูมาแล้ว",negative
"ไม่รู้สึกสนุกเลย",negative
"น่าสนใจเพียงเล็กน้อย แต่ไม่พอที่จะเป็นหนังดี",negative
"หนังแนวนี้มันหลุดจากแนวของมัน",negative
"เรื่องนี้ตรงกับชื่อของมัน มันเหมือนไม่มีอะไรใหม่",negative
"เรื่องนี้ไม่มีความสมดุลระหว่างการกระตุ้นและความเข้าใจ",negative
"น่าเบื่อมาก ไม่เข้ากับสไตล์ของฉัน",negative
"เนื้อหาจริงๆ ไม่ค่อยมีเรื่องราว",negative
"ไม่รู้สึกสนุกเลย",negative
"น่าสนใจเพียงเล็กน้อย แต่ไม่พอที่จะเป็นหนังดี",negative
"หนังแนวนี้มันหลุดจากแนวของมัน",negative
"เรื่องนี้ตรงกับชื่อของมัน มันเหมือนไม่มีอะไรใหม่",negative
"เรื่องนี้ไม่เหมาะสมสำหรับช่วงเวลานี้",negative
"เรื่องนี้เหมือนหนังเก่าที่เราเคยดูมาแล้ว",negative
"ไม่เข้าใจว่าทำไมมีคนชมมัน",negative
"น่าสนใจแค่ตอนแรก หลังจากนั้นกลายเป็นเรื่องซ้ำซาก",negative
"เรื่องนี้ไม่สามารถดูได้ซ้ำเลย",negative
"เป็นหนังที่ไม่ควรใช้เวลามากในการดู",negative
"ไม่เข้าใจว่าทำไมมีคนชมมัน",negative
"เรื่องนี้ไม่เหมาะสมสำหรับช่วงเวลานี้",negative
"เรื่องนี้เป็นสัจจะใจ! ชอบมาก",positive
"อย่างนี้แหละ! เรื่องนี้ดีจริงๆ",positive
"ดูแล้วทำให้เราหัวเราะอย่างมัน",positive
"เรื่องนี้ทำให้เรามีความรู้สึกอบอุ่น",positive
"ฉันรักเรื่องนี้มาก!",positive
"เรื่องนี้เป็นหนังที่ไม่ควรพลาด",positive
"ชอบฉากตลกในเรื่องนี้มาก",positive
"เนื้อหาน่าสนใจและดึงดูดมาก",positive
"นี่คือหนังที่ทำให้ฉันรู้สึกดี",positive
"ฉันอยากแนะนำหนังนี้มาก",positive
"เรื่องนี้มีเสน่ห์มาก",positive
"ฉันรู้สึกสดใสหลังจากดูหนังนี้",positive
"อีกครั้งหนึ่ง, เรื่องนี้ยังดีเหมือนเดิม",positive
"ฉันชอบบรรยากาศในหนังนี้มาก",positive
"เรื่องนี้เป็นเรื่องที่น่าติดตาม",positive
"ความเรียบง่ายของเรื่องนี้ทำให้ดูง่าย",positive
"ฉันรักตัวละครในเรื่องนี้",positive
"หนังนี้มีความสนุกมาก",positive
"เรื่องนี้เป็นแรงบันดาลใจ",positive
"ความสนุกที่ไม่มีวันหมดในหนังนี้",positive
"ฉันติดตามเนื้อหาของเรื่องนี้อย่างสนใจ",positive
"เรื่องนี้ทำให้ฉันรอคอยต่อเนื่อง",positive
"ความคมชัดของเรื่องนี้ทำให้รู้สึกเหมือนอยู่ในเรื่อง",positive
"ฉันรักทั้งฉากและเสียงในหนังนี้",positive
"เรื่องนี้มีความคิดสร้างสรรค์มาก",positive
"ฉันรู้สึกเรียบง่ายและสบายใจกับหนังนี้",positive
"เรื่องนี้มีความสมดุลในการสร้างสรรค์",positive
"ฉันรู้สึกสนุกและชื่นชมเสมอในหนังนี้",positive
"เรื่องนี้ทำให้ฉันเข้าใจและรู้สึกเหมือนกัน",positive
"ความสนุกของเรื่องนี้ไม่มีวันจบ",positive
"ฉันรักเสียงและดนตรีในหนังนี้",positive
"เรื่องนี้มีทั้งความตลกและความหลงใหล",positive
"ฉันรักการพัฒนาของตัวละครในเรื่องนี้",positive
"เรื่องนี้เป็นเรื่องที่มีความคิดสร้างสรรค์มาก",positive
"ความเป็นจริงของเรื่องนี้ทำให้ฉันคิดถึงมัน",positive
"ฉันรักทั้งเนื้อหาและการแสดงในหนังนี้",positive
"เรื่องนี้เป็นเรื่องที่มีความร่วมมือที่ดี",positive
"ความเป็นจริงของเรื่องนี้ทำให้ฉันรู้สึกสนุก",positive
"เรื่องนี้มีฉากที่อยากดูซ้ำๆ",positive
"ฉันรักทั้งการแสดงและบทสรุปในหนังนี้",positive
"เรื่องนี้ทำให้ฉันรู้สึกเราคือบรรดาเพื่อน",positive
"ความคมชัดของเรื่องนี้ทำให้รู้สึกเหมือนอยู่ในเรื่อง",positive
"ฉันรักทั้งเนื้อหาและการแสดงในหนังนี้",positive
"เรื่องนี้เป็นเรื่องที่มีความคิดสร้างสรรค์มาก",positive
"ความเป็นจริงของเรื่องนี้ทำให้ฉันคิดถึงมัน",positive
"ฉันรักทั้งการแสดงและบทสรุปในหนังนี้",positive
"เรื่องนี้ทำให้ฉันรู้สึกเราคือบรรดาเพื่อน",positive
"ความคมชัดของเรื่องนี้ทำให้รู้สึกเหมือนอยู่ในเรื่อง",positive
"ฉันรักทั้งเนื้อหาและการแสดงในหนังนี้",positive
"เรื่องนี้เป็นเรื่องที่มีความคิดสร้างสรรค์มาก",positive
"แต่ละภารกิจก็นะ เกินเบอร์ ลุ้นๆเอาใจช่วยนางเอกไปด้วยเลย และที่สำคัญพระเอกคือดี นี่กรี๊ดมาก",positive
"เกือบดี",negative
"ชอบพล็อตแปลกดี ระทึกขวัญ มีตกใจแต่ไม่ได้น่ากลัว มีพลิกล็อคบ้าง จำได้ตอนดูจบออกมา ห้างจะปิดละ เรากับเพื่อนมองหน้าหลังเลยนะ กลัวจะมีคนมาล่า อิน",positive
"เรื่องนี้ไปดูในโรง ไม่ได้ตั้งใจเข้าไป ตอนนั้นไม่รู้ด้วยว่าเรื่องเกี่ยวกับไร เพื่อนชวนไปเพราะยังไม่อยากกลับบ้าน555 ลุ้นสุดพระเอกจะกลับได้มั้ยแสดงเก่งเอาอยู่มาก ทั้งสงสาร เครียดแทน ",positive
" เหมือนได้เห็นมิติใหม่ๆของหนังไทยเลย ถือว่าทำออกมาได้ดีเลยแสดงกันเก่ง ตลอด 2 ชมครึ่ง ไม่เบื่อเลย","positive"
"ตอนนั้นดูแล้วชอบมากแบบรู้สึกเป็นเรื่องแรกสำหรับเราที่แปลกใหม่ ดูกี่ครั้งก็ไม่เบื่อเลยมีหลายอารมณ์
ทั้งระทึกขวัญ ตื่นเต้น กุ๊กกิ๊กเบาๆ ล้ำดีด้วยนะ แนะนำจ้า แล้วจัสติน ก็หล่อมาก ><",positive
"อย่างแรกที่มาดู เพราะ คริส ไพนน์เลย ในดวงใจเลยคนนี้ ><
ขำ ตลกคือบลัฟกันสุดระหว่างพระเอกกับเพื่อน เหมือนไม่ทำงานแล้วอะ มัวแต่แย่งกันจีบ555",positive
ชื่นชมการทำงานของตำรวจมาก ดูเป็นระบบ ไม่รู้มีใครเป็นมั้ย แต่พออะไรสร้างจากเรื่องจริงจะอิน สงสารผู้เคราะห์ร้ายด้วย,positive
พออิงจากเรื่องจริงก็อินอะ เนื้อเรื่องดำเนินไปเรื่อยๆเหมือนเราเป็นส่วนนึงของทีมเลย ค่อยๆรู้เบาะแสไปด้วยกัน,positive
โคตรห่วยเเตก,negative
ห่วยมากๆ,negative
เเย่ที่สุด,negative
เเย่มาก,negative
เเย่,negative
เเย่มาก,negative
ห่วยเเตกสุดๆ,negative
โคตรดี,positive
ดีมากๆ,positive
ดี,positive
ดีสุดๆ,positive
จะเป็นบ้า มันสุดยอดมากเลย,positive
นี่มันบ้าชัดๆ,negative
สวะ,negative
ต้องดูให้ได้,positive
ผู้กำกับบอกเลยว่าหล่อมาก,positive
คือดีย​์,positive
สุดยอดอ่ะ,positive
สุดยอด,positive
"ค่อนข้างห่วย",negative
"ค่อนข้างไม่ดี",negative
"ค่อนข้างไม่น่ารัก",negative
"ค่อนข้างน่าผิดหวัง",negative
"ค่อนข้างไม่พอใจ",negative
ค่อนข้างแย่,negative
"ต้องดูอย่างเดียว",positive
"หล่อมากจริงๆ",positive
"ดีย์มาก",positive
"เป็นสุดยอดจริง ๆ",positive
"สุดยอดมาก",positive
หนังดีมากก ผมนั่งดูตาไม่กะพริบเลย!,positive
หนังดีมากก ไม่น่าเบื่อเลย,positive
ใข้ได้,positive
สื่อถึงอารมณ์ได้ดี,positive
เป็นหนังที่ดูเเล้วหดหู่มาก,negative
